"Date","Open","High","Low","Close"
"01 Feb 2021","-","-","-","10227.00"
"29 Jan 2021","-","-","-","9813.15"
"28 Jan 2021","-","-","-","10105.60"
"27 Jan 2021","-","-","-","10210.25"
"25 Jan 2021","-","-","-","10433.50"
"22 Jan 2021","-","-","-","10515.85"
"21 Jan 2021","-","-","-","10367.75"
"20 Jan 2021","-","-","-","10369.25"
"19 Jan 2021","-","-","-","10136.80"
"18 Jan 2021","-","-","-","9961.10"
"15 Jan 2021","-","-","-","10178.30"
"14 Jan 2021","-","-","-","10238.30"
"13 Jan 2021","-","-","-","10208.55"
"12 Jan 2021","-","-","-","10119.85"
"11 Jan 2021","-","-","-","9995.60"
"08 Jan 2021","-","-","-","9741.25"
"07 Jan 2021","-","-","-","9429.65"
"06 Jan 2021","-","-","-","9379.55"
"05 Jan 2021","-","-","-","9416.05"
"04 Jan 2021","-","-","-","9417.95"
"01 Jan 2021","-","-","-","9272.50"
"15 Oct 2020","8043.05","8120.25","7909","7935.30"
"18 Aug 2020","7879.5","7979.3","7878.3","7941.80"
"24 Jul 2020","7228.40","7271.00","7178.85","7218.60"
"23 Jul 2020","7205.80","7313.00","7172.40","7301.00"
"22 Jul 2020","7301.00","7306.75","7154.15","7203.90"
"17 Jul 2020","7039.55","7154.75","7016.85","7137.30"
"13 Jul 2020","7094.15","7139.85","7035.90","7084.40"
"10 Jul 2020","7066.00","7158.20","7020.30","7041.10"
"07 Jul 2020","7172.35","7217.70","7099.50","7199.50"
"03 Jul 2020","6921.70","6992.30","6903.10","6971.00"
"01 Jul 2020","6743.35","6785.30","6702.50","6718.60"
"30 Jun 2020","6718.40","6753.50","6670.90","6719.10"
"26 Jun 2020","6807.40","6808.80","6705.00","6731.40"
"25 Jun 2020","6681.75","6791.75","6645.15","6737.80"
"24 Jun 2020","6854.25","6935.75","6727.40","6742.80"
"18 Jun 2020","6487.10","6557.05","6454.65","6535.90"
"12 Jun 2020","6075.30","6578.40","6074.15","6559.40"
"10 Jun 2020","6568.80","6598.50","6470.50","6502.60"
"09 Jun 2020","6648.95","6665.75","6525.25","6577.70"
"08 Jun 2020","6707.95","6743.15","6588.50","6610.50"
"05 Jun 2020","6563.80","6645.15","6527.00","6628.70"
"03 Jun 2020","6567.95","6622.10","6475.30","6498.60"
"02 Jun 2020","6455.80","6542.65","6395.50","6471.30"
"29 May 2020","6036.45","6246.95","6016.00","6218.80"
"28 May 2020","5922.15","6131.35","5876.40","6112.30"
"26 May 2020","5817.20","5872.75","5775.40","5854.30"
"22 May 2020","5707.25","5789.25","5639.65","5767.00"
"18 May 2020","5747.50","5752.15","5411.95","5430.00"
"15 May 2020","5823.30","5827.15","5680.25","5745.70"
"14 May 2020","5698.55","5865.95","5668.40","5804.00"
"13 May 2020","6014.20","6033.95","5815.50","5844.60"
"12 May 2020","5653.60","5735.65","5502.80","5708.90"
"11 May 2020","5517.60","5789.70","5514.40","5679.70"
"08 May 2020","5622.70","5623.75","5424.80","5447.70"
"07 May 2020","5549.95","5616.40","5505.45","5519.00"
"06 May 2020","5471.60","5593.30","5351.20","5552.40"
"05 May 2020","5582.15","5602.10","5442.75","5451.90"
"04 May 2020","5647.85","5652.80","5436.05","5476.20"
"30 Apr 2020","5667.35","5926.50","5660.55","5901.40"
"29 Apr 2020","5492.00","5568.00","5461.05","5543.70"
"28 Apr 2020","5476.85","5524.05","5399.30","5447.10"
"27 Apr 2020","5458.65","5528.80","5405.70","5433.20"
"24 Apr 2020","5405.90","5462.50","5362.85","5377.20"
"23 Apr 2020","5439.10","5518.70","5390.95","5464.70"
"22 Apr 2020","5267.80","5468.25","5243.60","5426.80"
"21 Apr 2020","5447.90","5447.90","5268.15","5294.00"
"20 Apr 2020","5724.90","5728.45","5565.95","5591.00"
"17 Apr 2020","5586.40","5702.65","5507.75","5668.90"
"16 Apr 2020","5271.25","5420.40","5235.65","5394.10"
"15 Apr 2020","5495.55","5592.80","5314.25","5333.00"
"13 Apr 2020","5554.40","5554.40","5308.85","5432.10"
"09 Apr 2020","5160.85","5607.35","5146.40","5568.40"
"08 Apr 2020","4833.00","5257.00","4830.40","5043.60"
"07 Apr 2020","4665.10","4970.85","4656.50","4951.50"
"03 Apr 2020","4652.75","4659.80","4511.10","4517.70"
"01 Apr 2020","4708.95","4803.55","4612.70","4657.50"
"31 Mar 2020","4787.80","4794.30","4630.20","4731.30"
"30 Mar 2020","4834.15","4848.00","4625.50","4669.10"
"27 Mar 2020","5245.60","5284.75","4866.05","4938.70"
"26 Mar 2020","4981.90","5163.70","4847.15","5061.30"
"25 Mar 2020","4600.05","5001.90","4577.15","4936.10"
"24 Mar 2020","4726.40","4850.85","4452.20","4693.30"
"23 Mar 2020","4908.15","5013.85","4593.05","4626.50"
"20 Mar 2020","5230.20","5423.20","5154.10","5370.10"
"19 Mar 2020","5217.95","5429.50","5042.90","5180.50"
"18 Mar 2020","5873.10","5896.85","5491.00","5516.50"
"17 Mar 2020","5858.30","6020.70","5767.50","5803.80"
"16 Mar 2020","5970.15","6041.35","5826.10","5843.70"
"13 Mar 2020","5641.55","6292.85","5265.80","6182.00"
"12 Mar 2020","6299.90","6299.90","5953.20","6033.40"
"11 Mar 2020","6614.15","6714.75","6539.75","6568.40"
"09 Mar 2020","6703.45","6758.70","6498.80","6632.10"
"06 Mar 2020","6712.20","6918.85","6661.95","6895.00"
"05 Mar 2020","6966.30","7013.65","6892.75","6953.70"
"04 Mar 2020","6990.85","7019.55","6775.80","6938.80"
"03 Mar 2020","6889.45","7022.25","6846.70","6986.60"
"02 Mar 2020","6993.20","7047.60","6813.20","6856.90"
"28 Feb 2020","7008.10","7017.60","6883.35","6903.90"
"27 Feb 2020","7200.15","7202.05","7090.45","7178.80"
"26 Feb 2020","7306.30","7328.20","7178.50","7207.90"
"25 Feb 2020","7452.75","7485.15","7339.90","7366.00"
"24 Feb 2020","7644.05","7644.05","7414.00","7429.10"
"20 Feb 2020","7687.50","7756.35","7667.85","7697.90"
"19 Feb 2020","7754.35","7769.40","7606.25","7687.30"
"18 Feb 2020","7758.00","7758.00","7620.50","7692.30"
"17 Feb 2020","7833.15","7833.60","7742.45","7770.50"
"14 Feb 2020","7933.60","7977.15","7807.30","7822.20"
"13 Feb 2020","7930.25","7933.40","7873.75","7914.90"
"12 Feb 2020","7932.30","7961.10","7905.75","7933.80"
"11 Feb 2020","7923.00","7969.30","7881.35","7892.40"
"10 Feb 2020","8065.40","8067.35","7820.30","7860.50"
"07 Feb 2020","8172.35","8173.60","8042.20","8064.60"
"06 Feb 2020","8158.80","8189.20","8092.55","8142.10"
"05 Feb 2020","8138.30","8212.20","8064.70","8131.70"
"04 Feb 2020","8026.60","8142.10","7997.85","8100.80"
"03 Feb 2020","7826.00","8016.80","7816.35","7988.30"
"01 Feb 2020","8069.75","8200.25","7833.10","7880.30"
"31 Jan 2020","8211.60","8238.75","8072.95","8086.50"
"30 Jan 2020","8239.65","8267.55","8148.20","8181.40"
"29 Jan 2020","8200.70","8264.60","8179.25","8220.40"
"28 Jan 2020","8290.10","8340.45","8125.90","8156.00"
"27 Jan 2020","8243.35","8347.90","8189.00","8258.10"
"24 Jan 2020","8246.45","8324.40","8234.95","8274.80"
"23 Jan 2020","8176.75","8251.85","8145.80","8241.70"
"22 Jan 2020","8278.55","8294.05","8147.15","8169.10"
"21 Jan 2020","8321.25","8325.80","8229.30","8245.90"
"20 Jan 2020","8436.90","8459.45","8343.40","8352.70"
"17 Jan 2020","8401.95","8463.25","8369.70","8427.60"
"16 Jan 2020","8385.30","8414.35","8373.65","8395.90"
"15 Jan 2020","8287.60","8395.70","8246.40","8385.30"
"14 Jan 2020","8234.20","8297.70","8216.55","8289.30"
"13 Jan 2020","8244.25","8262.30","8192.05","8235.80"
"10 Jan 2020","8177.55","8246.70","8147.65","8225.50"
"09 Jan 2020","8035.45","8165.90","8022.35","8155.20"
"08 Jan 2020","7921.65","8002.90","7900.80","7942.70"
"07 Jan 2020","8029.90","8097.70","7961.20","8002.50"
"06 Jan 2020","8132.65","8134.50","7967.20","7978.70"
"03 Jan 2020","8261.50","8261.65","8136.80","8168.10"
"02 Jan 2020","8226.60","8275.05","8206.85","8267.40"
"01 Jan 2020","8262.50","8276.80","8200.25","8210.10"
"31 Dec 2019","8326.45","8327.60","8236.85","8248.30"
"30 Dec 2019","8232.05","8337.90","8218.80","8325.40"
"27 Dec 2019","8155.40","8226.25","8145.40","8205.90"
"26 Dec 2019","8166.35","8176.30","8120.45","8129.60"
"24 Dec 2019","8206.10","8228.45","8142.60","8152.60"
"23 Dec 2019","8137.85","8212.45","8120.75","8180.50"
"20 Dec 2019","8169.90","8219.60","8121.20","8133.50"
"19 Dec 2019","8082.20","8183.55","8058.40","8165.50"
"18 Dec 2019","8061.00","8111.95","8039.25","8082.30"
"17 Dec 2019","8028.1","8068.1","8013.85","8039.90"
"16 Dec 2019","8087.75","8109.05","7981.95","7990.80"
"13 Dec 2019","7989.55","8090.75","7986.65","8069.70"
"12 Dec 2019","7878.40","7967.25","7866.05","7941.70"
"11 Dec 2019","7823.3","7846.65","7773.6","7838.40"
"10 Dec 2019","7888.7","7902.8","7778.5","7801.30"
"09 Dec 2019","7853.75","7950.55","7826.3","7863.30"
"05 Dec 2019","8015.3","8045.5","7928.15","7941.80"
"04 Dec 2019","7946.65","8043.9","7916.95","7996.50"
"03 Dec 2019","8021.65","8055.25","7931.75","7964.20"
"02 Dec 2019","8070.70","8087.35","7995.15","8012.70"
"29 Nov 2019","8172.80","8182.45","8066.95","8086.00"
"28 Nov 2019","8213.95","8223.15","8150.20","8179.70"
"27 Nov 2019","8160.60","8247.65","8157.10","8202.80"
"26 Nov 2019","8197.35","8227.00","8085.50","8099.90"
"25 Nov 2019","8045.00","8189.60","8024.10","8174.70"
"22 Nov 2019","8015.50","8047.15","7973.35","8034.90"
"21 Nov 2019","8082.40","8121.05","7998.75","8004.60"
"20 Nov 2019","8088.05","8132.60","8039.80","8083.80"
"19 Nov 2019","8150.90","8152.80","8052.05","8063.90"
"18 Nov 2019","8179.15","8188.85","8105.75","8119.00"
"15 Nov 2019","8259.75","8297.15","8130.20","8153.90"
"14 Nov 2019","8155.95","8205.05","8125.00","8190.90"
"13 Nov 2019","8146.55","8211.65","8135.10","8150.20"
"11 Nov 2019","8134.10","8209.30","8115.95","8159.00"
"08 Nov 2019","8220.20","8337.30","8157.40","8169.60"
"07 Nov 2019","8273.75","8276.25","8164.90","8239.90"
"06 Nov 2019","8273.30","8304.10","8195.60","8258.80"
"05 Nov 2019","8288.75","8381.20","8227.85","8256.10"
"01 Nov 2019","8461.65","8499.1","8367.3","8392.90"
"31 Oct 2019","8457.45","8499.70","8427.75","8449.50"
"30 Oct 2019","8501.15","8501.15","8360.75","8428.90"
"23 Sep 2019","7714","7939.25","7654.4","7802.60"
"20 Sep 2019","6955.55","7778.15","6936.2","7605.80"
"31 Jul 2019","6762.15","6883.4","6727.55","6851.60"
"02 Jan 2019","9121.95","9121.95","8885.30","8902.60"
