Date,Price,Open,High,Low,Volume,Chg%
"Nov 27, 2019","12,100.70","12,068.50","12,114.90","12,055.15",584.23M,0.52%
"Nov 26, 2019","12,037.70","12,110.20","12,132.45","12,006.35",1.20B,-0.30%
"Nov 25, 2019","12,073.75","11,922.45","12,084.50","11,919.75",534.29M,1.34%
"Nov 22, 2019","11,914.40","11,967.30","11,968.10","11,883.50",486.82M,-0.45%
"Nov 21, 2019","11,968.40","12,025.65","12,028.20","11,956.90",557.69M,-0.26%
"Nov 20, 2019","11,999.10","12,004.75","12,038.60","11,966.05",646.66M,0.49%
"Nov 19, 2019","11,940.10","11,919.45","11,958.85","11,881.75",613.91M,0.47%
"Nov 18, 2019","11,884.50","11,915.15","11,946.20","11,867.60",514.35M,-0.09%
"Nov 15, 2019","11,895.45","11,904.20","11,973.65","11,879.25",580.15M,0.20%
"Nov 14, 2019","11,872.10","11,858.75","11,895.65","11,802.65",559.49M,0.27%
"Nov 13, 2019","11,840.45","11,908.30","11,946.80","11,823.20",659.04M,-0.61%
"Nov 11, 2019","11,913.45","11,879.20","11,932.65","11,853.95",548.98M,0.04%
"Nov 08, 2019","11,908.15","11,987.15","12,034.15","11,888.75",789.25M,-0.86%
"Nov 07, 2019","12,012.05","12,021.10","12,021.40","11,946.85",562.96M,0.38%
"Nov 06, 2019","11,966.05","11,911.50","12,002.90","11,850.25",603.35M,0.41%
"Nov 05, 2019","11,917.20","11,974.60","11,978.95","11,861.90",631.95M,-0.20%
"Nov 04, 2019","11,941.30","11,928.90","11,989.15","11,905.35",823.05M,0.43%
"Nov 01, 2019","11,890.60","11,886.60","11,918.30","11,843.35",855.34M,0.11%
"Oct 31, 2019","11,877.45","11,890.45","11,945.00","11,855.10",1.41B,0.28%
"Oct 30, 2019","11,844.10","11,883.90","11,883.95","11,784.45",725.22M,0.49%
"Oct 29, 2019","11,786.85","11,643.95","11,809.40","11,627.35",951.72M,1.37%
"Oct 27, 2019","11,627.15","11,662.25","11,672.40","11,604.60",161.78M,0.37%
"Oct 25, 2019","11,583.90","11,646.15","11,646.90","11,490.75",812.03M,0.01%
"Oct 24, 2019","11,582.60","11,661.65","11,679.60","11,534.65",700.48M,-0.19%
"Oct 23, 2019","11,604.10","11,596.20","11,651.60","11,554.40",664.16M,0.14%
"Oct 22, 2019","11,588.35","11,657.15","11,714.35","11,573.65",867.60M,-0.63%
"Oct 18, 2019","11,661.85","11,580.30","11,684.70","11,553.15",853.44M,0.65%
"Oct 17, 2019","11,586.35","11,466.30","11,599.10","11,439.65",797.57M,1.07%
"Oct 16, 2019","11,464.00","11,464.95","11,481.05","11,411.10",533.47M,0.31%
"Oct 15, 2019","11,428.30","11,360.85","11,462.35","11,342.10",527.40M,0.77%
"Oct 14, 2019","11,341.15","11,335.90","11,420.45","11,290.05",587.58M,0.32%
"Oct 11, 2019","11,305.05","11,257.70","11,362.90","11,189.40",737.80M,0.63%
"Oct 10, 2019","11,234.55","11,280.50","11,293.35","11,208.55",562.02M,-0.70%
"Oct 09, 2019","11,313.30","11,152.95","11,321.60","11,090.15",741.15M,1.68%
"Oct 07, 2019","11,126.40","11,196.20","11,233.85","11,112.65",733.20M,-0.43%
"Oct 04, 2019","11,174.75","11,388.45","11,400.30","11,158.35",928.52M,-1.23%
"Oct 03, 2019","11,314.00","11,322.25","11,370.40","11,257.35",1.02B,-0.40%
"Oct 01, 2019","11,359.90","11,515.40","11,554.20","11,247.90",1.31B,-1.00%
"Sep 30, 2019","11,474.45","11,491.15","11,508.25","11,390.80",756.85M,-0.33%
"Sep 27, 2019","11,512.40","11,556.35","11,593.60","11,499.75",650.02M,-0.51%
"Sep 26, 2019","11,571.20","11,469.85","11,610.85","11,466.35",844.47M,1.15%
"Sep 25, 2019","11,440.20","11,564.85","11,564.95","11,416.10",629.06M,-1.28%
"Sep 24, 2019","11,588.20","11,590.70","11,655.05","11,539.20",651.72M,-0.10%
"Sep 23, 2019","11,600.20","11,542.70","11,694.85","11,471.35",882.83M,2.89%
"Sep 20, 2019","11,274.20","10,746.80","11,381.90","10,691.00",1.36B,5.32%
"Sep 19, 2019","10,704.80","10,845.20","10,845.20","10,670.25",642.60M,-1.25%
"Sep 18, 2019","10,840.65","10,872.80","10,885.15","10,804.85",519.16M,0.21%
"Sep 17, 2019","10,817.60","11,000.10","11,000.10","10,796.50",482.01M,-1.69%
"Sep 16, 2019","11,003.50","10,994.85","11,052.70","10,968.20",434.45M,-0.65%
"Sep 13, 2019","11,075.90","10,986.80","11,084.45","10,945.75",624.31M,0.85%
"Sep 12, 2019","10,982.80","11,058.30","11,081.75","10,964.95",551.44M,-0.48%
"Sep 11, 2019","11,035.70","11,028.50","11,054.80","11,011.65",687.14M,0.30%
"Sep 09, 2019","11,003.05","10,936.70","11,028.85","10,889.80",412.47M,0.52%
"Sep 06, 2019","10,946.20","10,883.80","10,957.05","10,867.45",497.21M,0.91%
"Sep 05, 2019","10,847.90","10,860.95","10,920.10","10,816.00",595.70M,0.03%
"Sep 04, 2019","10,844.65","10,790.40","10,858.75","10,746.35",508.78M,0.43%
"Sep 03, 2019","10,797.90","10,960.95","10,967.50","10,772.70",483.04M,-2.04%
"Aug 30, 2019","11,023.25","10,987.80","11,042.60","10,874.80",628.15M,0.68%
"Aug 29, 2019","10,948.30","10,996.05","11,021.10","10,922.40",649.88M,-0.89%
"Aug 28, 2019","11,046.10","11,101.30","11,129.65","10,987.65",549.96M,-0.53%
"Aug 27, 2019","11,105.35","11,106.55","11,141.75","11,049.50",685.55M,0.43%
"Aug 26, 2019","11,057.85","11,000.30","11,070.30","10,756.55",684.14M,2.11%
"Aug 23, 2019","10,829.35","10,699.60","10,862.55","10,637.15",667.08M,0.82%
"Aug 22, 2019","10,741.35","10,905.30","10,908.25","10,718.30",668.19M,-1.62%
"Aug 21, 2019","10,918.70","11,018.15","11,034.20","10,906.65",557.87M,-0.89%
"Aug 20, 2019","11,017.00","11,063.90","11,076.30","10,985.30",444.72M,-0.33%
"Aug 19, 2019","11,053.90","11,094.80","11,146.90","11,037.85",369.49M,0.06%
"Aug 16, 2019","11,047.80","11,043.65","11,068.65","10,924.30",470.91M,0.17%
"Aug 14, 2019","11,029.40","11,003.25","11,078.15","10,935.60",511.54M,0.95%
"Aug 13, 2019","10,925.85","11,139.40","11,145.90","10,901.60",624.64M,-1.65%
"Aug 09, 2019","11,109.65","11,087.90","11,181.45","11,062.80",538.06M,0.70%
"Aug 08, 2019","11,032.45","10,899.20","11,058.05","10,842.95",482.47M,1.63%
"Aug 07, 2019","10,855.50","10,958.10","10,975.65","10,835.90",548.47M,-0.85%
"Aug 06, 2019","10,948.25","10,815.40","11,018.55","10,813.80",517.89M,0.79%
"Aug 05, 2019","10,862.60","10,895.80","10,895.80","10,782.60",506.56M,-1.23%
"Aug 02, 2019","10,997.35","10,930.30","11,080.15","10,848.95",547.42M,0.16%
"Aug 01, 2019","10,980.00","11,060.20","11,076.75","10,881.00",499.92M,-1.24%
"Jul 31, 2019","11,118.00","11,034.05","11,145.30","10,999.40",536.69M,0.29%
"Jul 30, 2019","11,085.40","11,213.70","11,267.45","11,072.65",479.06M,-0.93%
"Jul 29, 2019","11,189.20","11,307.50","11,310.95","11,152.40",482.86M,-0.84%
"Jul 26, 2019","11,284.30","11,247.45","11,307.60","11,210.05",522.67M,0.29%
"Jul 25, 2019","11,252.15","11,290.40","11,361.40","11,239.35",553.68M,-0.17%
"Jul 24, 2019","11,271.30","11,322.45","11,359.75","11,229.80",413.20M,-0.53%
"Jul 23, 2019","11,331.05","11,372.25","11,398.15","11,302.80",458.93M,-0.13%
"Jul 22, 2019","11,346.20","11,392.85","11,398.15","11,301.25",516.04M,-0.64%
"Jul 19, 2019","11,419.25","11,627.95","11,640.35","11,399.30",446.05M,-1.53%
"Jul 18, 2019","11,596.90","11,675.60","11,677.15","11,582.40",498.26M,-0.78%
"Jul 17, 2019","11,687.50","11,670.75","11,706.65","11,651.15",464.83M,0.21%
"Jul 16, 2019","11,662.60","11,596.65","11,670.05","11,573.95",480.16M,0.64%
"Jul 15, 2019","11,588.35","11,614.75","11,618.40","11,532.30",368.79M,0.31%
"Jul 12, 2019","11,552.50","11,601.15","11,639.55","11,538.60",359.42M,-0.26%
"Jul 11, 2019","11,582.90","11,561.45","11,599.00","11,519.50",317.26M,0.73%
"Jul 10, 2019","11,498.90","11,536.15","11,593.70","11,475.65",337.57M,-0.49%
"Jul 09, 2019","11,555.90","11,531.60","11,582.55","11,461.00",442.52M,-0.02%
"Jul 08, 2019","11,558.60","11,770.40","11,771.90","11,523.30",464.03M,-2.14%
"Jul 05, 2019","11,811.15","11,964.75","11,981.75","11,797.90",530.72M,-1.14%
"Jul 04, 2019","11,946.75","11,928.80","11,969.25","11,923.65",333.60M,0.25%
"Jul 03, 2019","11,916.75","11,932.15","11,945.20","11,887.05",340.53M,0.05%
"Jul 02, 2019","11,910.30","11,890.30","11,917.45","11,814.70",363.20M,0.38%
"Jul 01, 2019","11,865.60","11,839.90","11,884.65","11,830.80",278.42M,0.65%
"Jun 28, 2019","11,788.85","11,861.15","11,871.70","11,775.50",303.89M,-0.45%
"Jun 27, 2019","11,841.55","11,860.85","11,911.15","11,821.05",480.17M,-0.05%
"Jun 26, 2019","11,847.55","11,768.15","11,871.85","11,757.55",327.89M,0.43%
"Jun 25, 2019","11,796.45","11,681.00","11,814.40","11,651.00",300.48M,0.83%
"Jun 24, 2019","11,699.65","11,725.80","11,754.00","11,670.20",277.62M,-0.21%
"Jun 21, 2019","11,724.10","11,827.60","11,827.95","11,705.10",468.43M,-0.91%
"Jun 20, 2019","11,831.75","11,653.65","11,843.50","11,635.05",442.02M,1.20%
"Jun 19, 2019","11,691.45","11,744.45","11,802.50","11,625.10",446.93M,0.00%
"Jun 18, 2019","11,691.50","11,677.05","11,727.20","11,641.15",365.53M,0.17%
"Jun 17, 2019","11,672.15","11,844.00","11,844.05","11,657.75",295.53M,-1.28%
"Jun 14, 2019","11,823.30","11,910.10","11,911.85","11,797.70",390.30M,-0.76%
"Jun 13, 2019","11,914.05","11,873.90","11,931.35","11,817.05",447.90M,0.07%
"Jun 12, 2019","11,906.20","11,962.45","11,962.45","11,866.35",283.72M,-0.50%
"Jun 11, 2019","11,965.60","11,959.85","12,000.35","11,904.35",332.18M,0.36%
"Jun 10, 2019","11,922.70","11,934.90","11,975.05","11,871.75",303.33M,0.44%
"Jun 07, 2019","11,870.65","11,865.20","11,897.50","11,769.50",302.46M,0.23%
"Jun 06, 2019","11,843.75","12,039.80","12,039.80","11,830.25",415.21M,-1.48%
"Jun 04, 2019","12,021.65","12,052.65","12,095.20","12,005.85",289.22M,-0.55%
"Jun 03, 2019","12,088.55","11,953.75","12,103.05","11,920.10",315.30M,1.39%
